bairros_sp,causa_afastamento_1,causa_afastamento_2,causa_afastamento_3,motivo_desligamento,cbo,cnae_classe,distritos_sp,vinculo_ativo_31dez,faixa_etaria,faixa_hora_contrat,faixa_remun_dezem_sm,faixa_remun_media_sm,faixa_tempo_emprego,escolaridade,qtd_hora_contr,idade,ind_simples,mes_admissao,mes_desligamento,municipio,natureza_juridica,ind_portador_defic,qtd_dias_afastamento,raca_cor,vl_remun_dezembro_nom,vl_remun_dezembro_sm,vl_remun_media_nom,vl_remun_media_sm,cnae_subclasse,sexo_trabalhador,tamanho_estabelecimento,tempo_emprego,tipo_admissao,tipo_estab41,tipo_estab42,tipo_defic,tipo_vinculo,ind_trab_intermitente,ind_trab_parcial,ano,cod_siaf_municipio,cod_ibge_municipio,cod_tse_municipio,nome_municipio,nome_municipio_sem_acento,ocupacao,setor,contribuinte_senai,nome_tipo_vinculo,nome_genero,nivel_escolaridade,segmentacao_escolaridade
9999,10,99,99,0,732105,35140,9999,1,5,6,99,5,7,7,43,35,0,0,0,350190,2046,N,99,2,0000000000.00,000000.00,0000002936.53,000003.33,3514000,1,4,66.7,0,1,CNPJ,N,10,N,N,2016,6137,3501905,61379,AMPARO,AMPARO,"Eletricista de Manutencao de Linhas Eletricas, Telefonicas e de Comunicacao de Dados","Óleo, Gás, Biocombustível e Energia",CONTRIBUINTE,CLT U/PJ IND,,,
99,10,10,99,0,515210,84116,80,1,6,4,6,4,8,7,30,42,0,0,0,355030,1031,N,48,99,0000002987.03,000003.18,0000002806.64,000002.98,8411600,1,10,185.9,0,1,CNPJ,N,30,N,N,2017,7107,3550308,71072,SÃO PAULO,SAO PAULO,Auxiliar de Farmacia de Manipulacao,Outros,NÃO,ESTATUTARIO,,,
9999,10,{ñ class},{ñ class},0,784205,22293,9999,1,5,6,4,3,4,5,44,30,0,7,0,351880,2062,N,175,2,0000000601.05,000001.71,0000000552.44,000001.69,2229399,1,6,17.6,0,1,CNPJ,N,10,N,N,2006,6477,3518800,64777,GUARULHOS,GUARULHOS,Alimentador de Linha de Producao,Indústria do Plástico e da Borracha,CONTRIBUINTE,CLT U/PJ IND,,,
68,10,99,99,0,212405,62040,33,1,5,5,9,8,5,9,40,32,0,0,0,355030,2062,N,12,2,0000005912.50,000009.50,0000006080.13,000009.76,6204000,1,6,25.4,0,1,CNPJ,N,10,N,N,2012,7107,3550308,71072,SÃO PAULO,SAO PAULO,Analista de Desenvolvimento de Sistemas,Indústria das Telecomunicações e Tecnologia da Informação,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,623310,1555,9999,1,5,6,3,2,3,7,44,34,0,4,0,350580,4081,N,106,2,0000000804.46,000001.29,0000000753.36,000001.20,155505,1,8,8.4,2,3,CEI,N,25,N,N,2012,6215,3505807,62154,BASTOS,BASTOS,Trabalhador da Avicultura de Postura,Ausente da Carteira,NÃO,CLT R/PF IND,,,
1801,10,99,99,0,782510,47211,64,1,5,6,5,4,4,7,44,34,1,0,0,355030,2062,N,50,2,0000002167.77,000002.31,0000001909.90,000002.03,4721102,1,5,14.8,0,1,CNPJ,N,10,N,N,2017,7107,3550308,71072,SÃO PAULO,SAO PAULO,Motorista de Caminhao (Rotas Regionais e Internacionais),Indústria de Alimentos,NÃO,CLT U/PJ IND,,,
1346,20,{ñ class},{ñ class},0,519110,56112,15,1,4,6,6,5,4,5,44,27,1,0,0,355030,2062,N,121,8,0000001206.98,000003.17,0000001258.37,000003.30,5611201,1,4,15.9,0,1,CNPJ,N,10,N,N,2007,7107,3550308,71072,SÃO PAULO,SAO PAULO,Motociclista no Transporte de Documentos e Pequenos Volumes,Indústria de Alimentos,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,717020,41107,9999,1,5,6,3,3,2,5,44,38,0,9,0,354340,2062,N,16,2,0000000805.45,000001.29,0000000990.13,000001.59,4110700,1,5,3.8,2,1,CNPJ,N,10,N,N,2012,6969,3543402,69698,RIBEIRÃO PRETO,RIBEIRAO PRETO,Servente de Obras,Indústria da Construção Civil,NÃO,CLT U/PJ IND,,,
9999,20,99,99,0,621005,1555,9999,1,7,6,3,2,7,5,44,59,0,0,0,351040,4081,N,365,2,0000000986.45,000001.25,0000000945.72,000001.19,155501,1,2,94.9,0,3,CEI,N,25,N,N,2015,6309,3510401,63096,CAPIVARI,CAPIVARI,Trabalhador Agropecuario em Geral,Indústria de Alimentos,NÃO,CLT R/PF IND,,,
1042,10,{ñ class},{ñ class},0,422310,82202,46,1,6,4,2,2,3,7,30,46,0,2,0,355030,2054,N,120,2,0000000416.16,000001.00,0000000429.28,000001.04,8220200,2,10,10.9,4,1,CNPJ,N,10,N,N,2008,7107,3550308,71072,SÃO PAULO,SAO PAULO,Operador de Telemarketing Ativo e Receptivo,Ausente da Carteira,NÃO,CLT U/PJ IND,,,
